job title,job description,years experience required,certifications/requirements
supply chain manager,"manage supply chain operations clients, including procurement, production planning, logistics.",4 years,"relevant certifications preferred (e.g. apics, cscp)"
data science consultant,"apply data science techniques solve complex business problems clients, including machine learning, natural language processing, data visualization.",3 years,relevant certifications preferred (e.g. microsoft certified: azure data scientist associate)
tax technology consultant,"provide tax technology services clients, including process automation, software implementation, data analytics.",3 years,relevant certifications preferred (e.g. certified information systems auditor)
assurance senior,"perform audits reviews financial statements clients, including risk assessment, testing, reporting.",3 years,cpa equivalent certification preferred
environmental consultant,"provide environmental consulting services clients, including compliance, remediation, sustainability.",3 years,"relevant certifications preferred (e.g. osha 40-hour hazwoper, certified hazardous materials manager)"
international tax consultant,"provide international tax services clients, including cross-border transactions, transfer pricing, expatriate tax.",2 years,relevant certifications preferred (e.g. chartered accountant)
strategy consultant,"provide strategy consulting services clients, including assessments, roadmaps, governance.",5 years,relevant certifications preferred (e.g. certified governance enterprise it)
valuation consultant,"perform valuations businesses, intangible assets, financial instruments clients, including modeling analysis.",3 years,relevant certifications preferred (e.g. accredited business valuation)
transaction advisory services manager,"manage transaction advisory services engagements clients, including due diligence, integration planning, divestitures.",4 years,relevant certifications preferred (e.g. certified m&a advisor)
financial services operations consultant,"provide consulting services financial services operations, including process improvement, automation, outsourcing.",3 years,relevant certifications preferred (e.g. lean six sigma black belt)
data governance consultant,"develop implement data governance frameworks clients, including policies, standards, procedures.",3 years,relevant certifications preferred (e.g. certified data management professional)
people advisory services senior manager,"leads manages delivery hr consulting services clients, including workforce planning, organizational design, talent management. develops maintains client relationships, manages project teams, provides thought leadership.",6 years,"shrm, sphr, relevant certification"
hr transformation manager,"leads manages hr transformation projects clients, including process redesign, technology implementations, change management. develops maintains client relationships, manages project teams, provides thought leadership.",7 years,mba relevant degree
"diversity, equity inclusion (de&i) manager","leads manages de&i consulting services clients, including assessments, strategy development, program implementation. develops maintains client relationships, manages project teams, provides thought leadership.",5 years,"de&i certification, ccip icd"
change management senior consultant,"provides change management consulting services clients, including stakeholder analysis, communication planning, training development. supports project teams engages clients manage change facilitate adoption.",3 years,"change management certification, prosci acmp"
total rewards senior manager,"leads manages delivery total rewards consulting services clients, including compensation benefits strategy development, design, implementation. develops maintains client relationships, manages project teams, provides thought leadership.",7 years,cebs relevant certification
workforce planning analytics consultant,"provides workforce planning analytics consulting services clients, including workforce forecasting, data analysis, modeling. supports project teams engages clients develop implement workforce strategies.",2 years,"hr data analytics certification, phr sas"
talent management manager,"leads manages delivery talent management consulting services clients, including performance management, succession planning, leadership development. develops maintains client relationships, manages project teams, provides thought leadership.",7 years,shrm-scp relevant certifications
assurance associate,"works team audit clients' financial statements identify potential risks opportunities improvement. participates planning executing audit procedures, communicates findings senior team members.",0 years,cpa relevant certification
tax associate,"works team assist clients tax compliance planning, including researching tax laws regulations, preparing tax returns, analyzing tax implications business decisions. participates planning executing tax engagements, communicates findings senior team members.",1 years,cpa relevant certification
advisory consultant,"works team provide clients strategic operational advice, including analyzing business processes, conducting market research, developing recommendations improvement. participates planning executing advisory engagements, communicates findings senior team members.",1 year,mba relevant degree
technology consulting analyst,"works team assist clients technology-related projects, including software implementation, data analysis, strategy development. participates planning executing technology consulting engagements, communicates findings senior team members.",0 years,relevant technology certification
financial services risk management associate,"works team assist clients financial services industry risk management, including assessing risks, developing risk management frameworks, implementing risk mitigation strategies. participates planning executing risk management engagements, communicates findings senior team members.",2 years,relevant risk management certification
strategy transactions analyst,"works team assist clients mergers acquisitions, divestitures, capital raising activities. conducts financial strategic analysis, develops business plans, supports due diligence efforts. participates planning executing strategy transactions engagements, communicates findings senior team members.",2 years,mba relevant degree
junior accountant,"junior accountant responsible maintaining financial records, preparing financial statements, assisting audits.",2 years,"bachelor's degree accounting related field, cpa certification preferred"
junior marketing associate,"junior marketing associate responsible supporting marketing campaigns, conducting market research, creating marketing materials.",2 years,"bachelor's degree marketing, communications, related field"
junior human resources coordinator,"junior human resources coordinator responsible supporting hr functions, including recruiting, onboarding, employee relations.",2 years,"bachelor's degree human resources, business, related field"
junior financial analyst,"junior financial analyst responsible analyzing financial data, preparing financial reports, assisting budgeting forecasting.",2 years,"bachelor's degree finance, accounting, related field"
junior management consultant,"junior management consultant responsible conducting research, analyzing data, making recommendations clients improve business operations.",2 years,"bachelor's degree business, economics, related field"
junior business development associate,"junior business development associate responsible identifying new business opportunities, developing client relationships, collaborating team members develop proposals.",2 years,"bachelor's degree business, marketing, related field"
junior project manager,"junior project manager responsible supporting project management activities, including project planning, budgeting, monitoring progress.",2 years,"bachelor's degree project management, business, related field"
junior supply chain analyst,"junior supply chain analyst responsible analyzing supply chain data, identifying opportunities cost savings process improvement, making recommendations supply chain management.",2 years,"bachelor's degree supply chain management, business, related field"
junior operations analyst,"junior operations analyst responsible analyzing operational data, identifying opportunities improvement, making recommendations operations management.",2 years,"bachelor's degree business, operations management, related field"
junior sales associate,"junior sales associate responsible supporting sales activities, including lead generation, proposal development, client communication.",2 years,"bachelor's degree sales, marketing, related field"
junior software developer,"junior software developer responsible developing maintaining software applications, troubleshooting issues, testing code.",2 years,bachelor's degree computer science related field
junior data scientist,"junior data scientist responsible collecting analyzing large datasets, developing machine learning models, presenting insights stakeholders.",2 years,"bachelor's degree computer science, statistics, related field"
innovation analyst,"innovation analyst responsible identifying emerging technologies, conducting research, developing strategies innovation within organization.",2 years,"bachelor's degree business, innovation, related field"
junior cybersecurity analyst,"junior cybersecurity analyst responsible monitoring systems security breaches, conducting vulnerability assessments, implementing security solutions.",2 years,"bachelor's degree cybersecurity, information technology, related field"
junior ui/ux designer,"junior ui/ux designer responsible designing user interfaces user experiences digital products, conducting user research, creating wireframes prototypes.",2 years,"bachelor's degree design, computer science, related field"
innovation coordinator,"innovation coordinator responsible organizing innovation events, managing innovation projects, facilitating collaboration among team members.",2 years,"bachelor's degree business, innovation, related field"
junior business analyst,"junior business analyst responsible analyzing business processes, identifying areas improvement, developing solutions business problems.",2 years,"bachelor's degree business, economics, related field"
junior cloud engineer,"junior cloud engineer responsible deploying managing cloud infrastructure, monitoring performance, troubleshooting issues.",2 years,"bachelor's degree computer science, information technology, related field"
innovation specialist,"innovation specialist responsible promoting innovation culture within organization, managing innovation programs, fostering creativity collaboration among team members.",2 years,"bachelor's degree business, innovation, related field"
junior full-stack developer,"junior full-stack developer responsible developing maintaining web applications, working front-end back-end, collaborating team members implement new features.",3 years,bachelor's degree computer science related field
staff accountant,"staff accountant responsible preparing financial statements, analyzing financial data, ensuring compliance accounting principles.",2 years,bachelor's degree accounting related field
junior data analyst,"junior data analyst responsible collecting analyzing data, creating reports visualizations, identifying trends patterns.",2 years,"bachelor's degree computer science, statistics, related field"
audit associate,"audit associate responsible conducting audits financial statements, analyzing financial data, ensuring compliance auditing standards.",2 years,bachelor's degree accounting related field
hr coordinator,"hr coordinator responsible providing administrative support hr department, managing employee files, assisting recruitment onboarding.",2 years,bachelor's degree human resources related field
junior consultant,"junior consultant responsible providing consulting services clients, conducting research analysis, developing business strategies.",2 years,"bachelor's degree business, finance, related field"
tax associate,"tax associate responsible preparing tax returns, researching tax issues, ensuring compliance tax laws.",2 years,bachelor's degree accounting related field
hr assistant,"hr assistant responsible providing administrative support hr department, scheduling interviews, assisting employee training development.",2 years,bachelor's degree human resources related field
marketing coordinator,"marketing coordinator responsible coordinating marketing campaigns, creating marketing materials, analyzing marketing data.",2 years,bachelor's degree marketing related field
financial analyst,"financial analyst responsible conducting financial analysis, creating financial models, preparing financial reports.",2 years,"bachelor's degree finance, economics, related field"
recruitment coordinator,"recruitment coordinator responsible scheduling interviews, conducting background checks, assisting recruitment process.",2 years,bachelor's degree human resources related field
hr generalist,"hr generalist responsible providing support hr department, managing employee relations, assisting policy development.",1 year,bachelor's degree human resources related field
